title,creation_date,id_artist,id_museum,id_medium,id_art_movement
Lincoln Center Print,1999,Sol Lewitt,Brousan Contemporary,prints,Minimalism
Love and Pain,1895,Edvard Munch,Munch Museum,oil on canvas,Expressionism
M.Chat,2012,"M,Chat",Magasin Generaux of Pantin,spray print,Street Art
Machine Ornament No. 2,1927,Louis Lozowick,de Young museum,brush and black ink on paper,Constructivism
Madonna dal collo lungo,1535-1540,Parmigianino,Uffizi Gallery,oil on wood,Mannerism
Maestà,1285-1286,Duccio di Buoninsegna,Uffizi Gallery,tempera on panel,Gotic
Marie-Antoinette dit à la Rose,1783,Élisabeth Vigée Le Brun,Château de Versailles,oil on canvas,Rococo
Meisje met de parel,1665,Johannes Vermeer,Mauritshuis,oil on canvas,Baroque
Mont Sainte-Victoire and Château Noir,1904-1906,Paul Cézanne,The Museum of Modern Art,oil on canvas,Post Impressionism
Moulin Rouge: La Goulue,1891,Henri de Toulouse-Lautrec,Indianapolis Museum of Art,color lithograph,Art Nouveau
Mujer con Turbante,-,Tamara de Lempicka,Museo Robert Brady,-,Art Deco
NYC Parking Lot,1969,Richard Estes,National Academy of Design,oil on masonite,Photorealism
Poems 1958-1974,1975,Carl Andre,Modern Art Oxford,poster,Minimalism
Polar Stampede,1960,Lee Krasner,Barbican Centre,oil on canvas,Abstract Expressionism
Portrait of Madame Matisse. The Green Line,1905,Henri Matisse,Statens Museum for Kunst,oil on canvas,Modernism
Portrait of Pablo Picasso,1912,Juan Gris,School of the Art Institute of Chicago,oil on canvas,Cubism
Queen Esther,1878,Edwin Long,National Gallery of Victoria,oil on canvas,Neoclassicism
Self-Portrait,1917,Alice Bailly,National Museum of Women in the Arts,oil on canvas,Dada
Self-Portrait with Chinese Lantern Plant,1912,Egon Schiele,Leopold Museum,oil and opaque color on wood,Modernism
Sir Thomas More,1527,Hans Holbein,Frick Collection,oil on panel,German Renaissance
Studie zu den Händen eines Apostels,1508,Albrecht Dürer,Albertina Museum,"brush, gray and white ink, gray wash, on blue prepared paper",German Renaissance
Supper in Dresden,1983,Georg Baselitz,Kunsthaus Zürich,oil on canvas,Contemporary Art
The Blinded Samson,1912,Lovis Corinth,Nationalgalerie,oil on canvas,Expressionism
The Brooklyn Bridge: Variation on an Old Theme,1939,Joseph Stella,Whitney Museum of American Art,oil on canvas,Futurism
The Death of Germanicus,1627,Nicolas Poussin,Minneapolis Institute of Art,oil on canvas,Classicism
The Emancipation Approximation,1999,Kara Walker,MAXXI National Museum of XXI Century Arts,shaped paper,Contemporary Art
The Emperor Napoleon in His Study at the Tuileries,1812,Jacques-Louis David,National Gallery of Art,oil on canvas,Neoclassicism
The Fall of the Titans,1588-1590,Cornelis van Haarlem,Statens Museum,oil on wood,Mannerism
The Mud Bath,1914,David Bomberg,Tate Britain,oil on canvas,Cubism
The Peaceable Kingdom,1833-1834,Edward Hicks,Brooklyn Museum,oil on canvas,Naïve art
The Soul of the Soulless City,1920,Christopher R. W. Nevinson,Tate Gallery,oil on canvas,Futurism
The Temptation of Christ on the Mountain,1308-1311,Duccio di Buoninsegna,The Frick Collection,tempera on panel,Gotic
The Triumph of Venus,1740,François Boucher,Nationalmuseum,oil on canvas,Rococo
Three Friends,1944/1945,William Henry Johnson,Smithsonian American Art Museum,modified screen print,Folk art
Three Pujarins,-,Jamini Roy ,National Gallery of Modern Art,tempera on paper board,Folk art
Tournée du Chat Noir de Rodolphe Salis,1896,Théophile-Alexandre Steinlen,Collection Zimmerli Art Museum,color lithograph,Art Nouveau
Toxic Mary,2003,Banksy,State Chancellery Saarland,spray print,Street Art
Viva la vida,1954,Frida Kahlo,Museo Frida Kahlo,oil on masonite,Primitivism
Woman-Ochre,1955,Willem de Kooning,University of Arizona Museum of Art,oil on canvas,Abstract Expressionism
Девятый вал,1850,Ivan Aivazovsky,Государственный Русский музей,oil on canvas,Romanticism
Пианист,1915,Liubov Popova,National Gallery of Canada,oil on canvas,Suprematism
Строящийся дом,1915-1916,Kazimir Malevich,National Gallery of Australia,oil on canvas,Geometric Abstraction
神奈川沖浪裏,1831,Katsushika Hokusai,Metropolitan Museum of Art,ink and color on paper,Ukiyo-e
飛越の堺つりはし,1830,Katsushika Hokusai,Metropolitan Museum of Art,ink and color on paper,Ukiyo-e
